"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_ELECTRONICS-PURCHASE-URL";"AVAILABILITY";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"MF";"MOUSER-PURCHASE-URL";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"SPICEPREFIX";
"1";"100";"R-EU_R0805";"R0805";"R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"2";"100k";"R-EU_R0805";"R0805";"R7, R15";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"11";"100nF";"C-EUC0805";"C0805";"C1, C2, C3, C5, C6, C7, C8, C10, C16, C21, C23";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"88";"";"C";
"3";"10k";"R-EU_R0805";"R0805";"R9, R11, R17";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"4";"10uF";"C-EUC0805";"C0805";"C4, C9, C12, C22";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"88";"";"C";
"1";"1M";"R-EU_R0805";"R0805";"R5";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"11";"1k";"R-EU_R0805";"R0805";"R1, R2, R3, R4, R10, R12, R13, R14, R16, R18, R19";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"2";"1uF";"C-EUC0805";"C0805";"C13, C19";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"88";"";"C";
"1";"1uH";"L-EUL5650M";"L5650M";"L1";"INDUCTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"0";"";"L";
"2";"2.2pF";"C-EUC0805";"C0805";"C17, C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"88";"";"C";
"1";"22uF";"C-EUC0805";"C0805";"C14";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"88";"";"C";
"1";"32.768kHz";"FC-135_32.768";"MC-405";"Q2";"kHz RANGE CRYSTAL UNIT SMD";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"0";"";"";
"1";"3V3 OK";"LEDCHIPLED_0805";"CHIPLED_0805";"LED4";"LED";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";
"2";"4,3pF";"C-EUC0805";"C0805";"C11, C15";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"88";"";"C";
"1";"4.7uF";"C-EUC0805";"C0805";"C20";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"88";"";"C";
"1";"453k";"R-EU_R0805";"R0805";"R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"86";"";"R";
"1";"5V Power";"LEDCHIPLED_0805";"CHIPLED_0805";"LED3";"LED";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";
"1";"BMP280";"BMP280";"BMP280";"IC6";"The BMP280 is an absolute barometric pressure sensor especially designed for mobile applications. The sensor module is housed in an extremely compact 8-pin metal-lid LGA package with a footprint of only 2.0 × 2.5 mm2 and 0.95 mm package height. Its small";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"BSS138";"BSS138";"SOT23";"Q4, Q5";"BSS138 N-Channel Logic Level Enhancement Mode Field Effect Transistor";"";"";"";"";"Fairchild";"";"";"BSS138";"9845330";"67R2009";"";"";"";"";
"1";"CON-SMA-EDGE";"CON-SMA-EDGE";"CINCH_142-0701-801";"CON1";"Conn SMA RCP 0Hz to 18GHz 50Ohm Solder ST Edge Mount Gold Check prices";"";"Warning";" SMA Connector Jack, Female Socket 50Ohm Board Edge, End Launch Solder ";"https://snapeda.com/shop?store=DigiKey&id=2691213";"Cinch Connectivity";"https://snapeda.com/shop?store=Mouser&id=2691213";"142-0701-801";"";"";"";"None";"";"None";"";
"1";"Charging";"LEDCHIPLED_0805";"CHIPLED_0805";"LED2";"LED";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";
"1";"Complete";"LEDCHIPLED_0805";"CHIPLED_0805";"LED1";"LED";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";
"1";"DW01A";"DW01A";"SOT23-6";"IC2";"";"";"Unavailable";" One Cell Lithium-ion/Polymer Battery Protection IC ";"";"Fortune Semiconductor";"";"DW01A";"";"";"";"SOT-23-6 Fortune Semiconductor";"";"None";"";
"1";"FERRITE-BEADB";"FERRITE-BEADB";"0805";"FB1";"Ferrite beads in various packages";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"FL0800011Q";"FL0800011Q";"FL0800011Q";"Q1";"kHz RANGE CRYSTAL UNIT SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"FS8205A";"FS8205A";"SOP65P640X120-8N";"Q3";"N/A";"";"Unavailable";" ";"";"Fortune Semiconductor";"";"FS8205A";"";"";"";"Package ";"";"None";"";
"1";"GPS fix";"LEDCHIPLED_0805";"CHIPLED_0805";"LED5";"LED";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";
"1";"L80-M39";"L80-M39";"XCVR_L80-M39";"IC4";"Check prices";"";"Bad";" L80 is an ultra compact GPS POT (Patch on Top) module with an embedded 15.0mm × 15.0mm × 4.0mm patch antenna. ";"";"Quectel";"";"L80-M39";"";"";"";"None";"";"None";"";
"1";"MCP73833-AMI/UN";"MCP73833-AMI/UN";"SOP50P490X110-10N";"U1";"Check prices";"https://snapeda.com/shop?store=Arrow+Electronics&id=142622";"Good";" Charger IC Lithium Ion/Polymer 10-MSOP ";"https://snapeda.com/shop?store=DigiKey&id=142622";"Microchip";"https://snapeda.com/shop?store=Mouser&id=142622";"MCP73833-AMI/UN";"";"";"";"MSOP-10 Microchip";"";"None";"";
"1";"ON/OFF";"PINHD-1X2";"1X02";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";
"1";"PDTC114EU";"BC846ASMD";"SOT23";"Q6";"NPN Transistor";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";
"1";"RESET";"PINHD-1X2";"1X02";"JP2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";
"1";"STM32F411XC";"STM32F411XC";"LQFP64";"IC3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"THT433MHZ1W";"THT433MHZ1W";"E32M1000";"IC7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TLV62585PDRLR";"TLV62585PDRLR";"SOT563";"IC1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"USB-SHIELD";"USB-SHIELD";"USB-M-S1";"CON2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"V-<>GND";"SJ";"SJ";"SJ1";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"33";"";"";
"1";"W25Q128";"W25Q128";"SO08-FLASH";"IC5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"WIREPADSMD2,54-5,08";"WIREPADSMD2,54-5,08";"SMD2,54-5,08";"V+, V-";"Wire PAD connect wire on PCB";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";
"1";"WT-2MM-3PINANGELED";"WT-2MM-3PINANGELED";"W_TYPE_2MM_3_A";"J1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"WT-2MM-4PINANGELED";"WT-2MM-4PINANGELED";"W_TYPE_2MM_4_A";"J2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"error";"LEDCHIPLED_0805";"CHIPLED_0805";"LED9";"LED";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";
"1";"init complete";"LEDCHIPLED_0805";"CHIPLED_0805";"LED7";"LED";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";
"1";"read flash";"LEDCHIPLED_0805";"CHIPLED_0805";"LED6";"LED";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";
"1";"setup";"LEDCHIPLED_0805";"CHIPLED_0805";"LED8";"LED";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";
